,Turtle (s),,Matlab (s),Ratio,,CP MJ (s),Ratio,,C++ JSON IO (s),Ratio,,JSON Lab (s),Ratio
'1.json',2.9419,,441.1907,150,,18.6841,6.4,,11.3028,3.8,,3600,1223.7
'XJ30_NaCl500mM4uL6h_10m45x10s40s_Ea.json',0.3379,,3.5842,10.6,,8.8046,26.1,,3.957,11.7,,34.2051,101.2
'apache_builds.json',0.0014,,0.0077,5.6,,0.0063,4.6,,0.0046,3.3,,0.4317,310.9
'apache_builds.min.json',0.0014,,0.0072,5.3,,0.0061,4.4,,0.0044,3.2,,0.406,294.4
'big.json',0.1132,,0.4638,4.1,,0.3941,3.5,,0.3407,3,,127.3923,1125.5
'canada.json',0.0099,,0.1604,16.2,,0.2392,24.1,,0.1351,13.6,,3.2748,330.3
'citm_catalog.json',0.0141,,0.1201,8.5,,0.1052,7.4,,0.0419,3,,9.4282,666.5
'citylots.json',2.0136,,14.3545,7.1,,20.6683,10.3,,11.2797,5.6,,3600,1787.9
'github_events.json',0.0013,,0.004,3,,0.0034,2.6,,0.0026,2,,0.1942,147.1
'github_events.min.json',0.0016,,0.0042,2.6,,0.0031,2,,0.0022,1.4,,0.1797,113.3
'instruments.json',0.0032,,0.018,5.6,,0.0123,3.8,,0.008,2.5,,1.2128,377.1
'instruments.min.json',0.0027,,0.0179,6.6,,0.0108,4,,0.0075,2.8,,1.1154,411.9
'large-dict.json',0.4444,,3.6751,8.3,,1.6436,3.7,,1.4312,3.2,,659.8289,1484.9
'medium-dict.json',0.1398,,6.9318,49.6,,0.4719,3.4,,0.3862,2.8,,58.5001,418.4
'mesh.json',0.0057,,0.065,11.4,,0.1133,19.9,,0.0452,7.9,,0.2173,38.2
'mesh.min.json',0.0044,,0.0447,10.2,,0.1137,25.9,,0.032,7.3,,0.0624,14.2
'small-dict.json',0.0143,,0.6348,44.4,,0.0391,2.7,,0.0297,2.1,,2.6816,187.5
'svg_menu.json',0.0002,,0.0004,1.9,,0.0004,1.6,,0.0003,1.2,,0.0083,36.1
'svg_menu.min.json',0.0003,,0.0004,1.6,,0.0004,1.5,,0.0002,1,,0.0081,31.8
'twitter.json',0.0106,,0.0446,4.2,,0.0316,3,,0.0217,2,,2.1482,202.8
'twitter.min.json',0.0112,,0.0533,4.8,,0.0352,3.2,,0.0218,2,,2.2133,198.3
'update-center.json',0.013,,0.0528,4.1,,0.0382,2.9,,0.0291,2.2,,4.3132,332
'update-center.min.json',0.0126,,0.0497,4,,0.0336,2.7,,0.0273,2.2,,4.1199,328.1
'utf8_01.json',0.0002,,0.0003,1.7,,0.0003,1.5,,0.0002,0.9,,0.0019,10.1
'wcon_testfile_new.json',0.1154,,1.4205,12.3,,2.6189,22.7,,1.2604,10.9,,47.2611,409.4